x,VCP1.48f10000h1,VCP2.82f10000h1,VCP4.49f10000h1,HCP1.48f10000h1,HCP2.82f10000h1,HCP4.49f10000h1,y,elevation
4.64,10.318518779995262,10.288287901870987,11.060902244110048,8.980395506147795,9.451791334761388,10.291317136612394,0,0
5.64,10.23829705964545,10.10831785110941,10.920890823298492,8.800587809695456,9.541808395092433,10.321320976660857,0,0
6.64,10.318518779995262,10.238296221103898,10.660869613220001,9.050320721434844,9.531806499500105,10.30131841662857,0,0
7.64,10.328546495038983,9.94834447265466,10.310841061191198,9.22013910141758,9.49179891713078,10.31131969664468,0,0
8.64,10.35862964017018,10.138312859569675,10.720874507853473,9.090277987313138,9.411783752391996,10.221308176499429,0,0
9.64,11.000403402968725,10.31828291033125,10.770878586714769,8.990384822617395,9.481797021538378,10.241310736531712,0,0
10.64,11.040514263143617,10.258292893410724,10.700872876308964,9.110256620252288,9.521804603907773,10.321320976660857,0,0
11.64,10.77979367200671,10.138312859569675,10.670870428992231,8.970406189678247,9.50180081272311,10.261313296563998,0,0
12.64,10.819904532181628,10.218299548797026,10.590863902814197,9.110256620252288,9.651829246608212,10.271314576580107,0,0
13.64,10.629377946350811,10.12831452341624,10.60086471858648,8.960416873208647,9.731844411346927,10.231309456515532,0,0
14.64,10.749710526875543,10.098319514955977,10.800881034031502,9.290064316704626,9.821861471677975,10.251312016547821,0,0
15.64,11.120735983493457,10.668224675701014,11.010898165248802,9.519818595504864,9.941884218786083,10.261313296563998,0,0
16.64,11.491761440111341,10.918183079536552,11.33092426996082,10.15913484955762,10.171927817409902,10.331322256676962,0,0
17.64,12.0633411976038,11.328114861826839,11.560943032722632,10.828419053019129,10.481986580772436,10.361326096725428,0,0
18.64,12.22378463830342,11.818033333344525,12.120988715968684,11.407799408254494,10.902066195650676,10.631360657161325,0,0
19.64,12.424338939177991,12.187971771021113,12.671033583442513,11.847329332915765,11.272136332567266,10.931399057645683,0,0
20.64,13.477249018769337,12.487921855623789,12.731038478076034,11.94722249761151,11.46217234882176,11.091419537903972,0,0
21.64,13.567498454162875,12.88785530176064,12.961057240837793,11.967201130550661,11.47217424441409,11.121423377952361,0,0
22.64,12.815419825883351,12.477923519470352,12.881050714659816,11.827350699976616,11.292140123751997,10.95140161767797,0,0
23.64,13.768052755037415,12.967841990988036,13.28108334554986,11.907265231733211,11.18211927223622,10.881392657564932,0,0
24.64,13.93852391078079,13.08782202482909,13.221078450916334,11.887286598794065,11.302142019344325,10.9113964976134,0,0
25.64,13.747997324949969,13.097820360982523,13.151072740510592,11.857318649385368,11.35215149730598,10.871391377548752,0,0
26.64,13.647720174512685,12.977840327141426,13.091067845877065,12.067094295246454,11.392159079675375,10.841387537500362,0,0
27.64,13.617637029381516,13.01783367175513,13.061065398560332,12.017147712898558,11.432166662044699,10.821384977468075,0,0
28.64,13.577526169206596,13.047828680215389,13.031062951243543,12.067094295246454,11.492178035598752,10.721372177306645,0,0
29.64,13.978634770955678,13.32778209251119,13.35108905595561,12.176976776411747,11.632204573891523,10.881392657564932,0,0
30.64,13.848274475387255,13.237797067130403,13.381091503272343,11.847329332915765,11.772231112184292,11.301446418243007,0,0
31.64,14.29952165235495,13.557743824039902,13.721119239528923,12.1569981434726,12.14230124910088,11.521474578598152,0,0
32.64,14.309549367398704,13.737713874801525,13.921135554973942,12.286859257577092,12.192310727062605,11.821512979082513,0,0
33.64,14.219299932005141,13.62773217711386,13.981140449607466,12.196955409350895,12.382346743317028,12.151555219615265,0,0
34.64,14.670547108972864,13.617733840960426,14.0111428969242,11.94722249761151,12.232318309431927,12.621615380374017,0,0
35.64,14.660519393929142,13.867692244795965,14.101150238874462,12.176976776411747,12.342339160947704,12.531603860228692,0,0
36.64,14.108995066524162,13.447762126352284,13.701117607984415,12.007158396428958,12.322335369762975,12.501600020180303,0,0
37.64,14.038801061218045,13.377773773278326,13.69111679221213,12.206944725820497,12.412352430094089,12.561607700277158,0,0
38.64,13.928496195737067,13.137813705596175,13.371090687500116,11.777404117628775,12.262323996208991,12.411588500034979,0,0
39.64,13.717914179818768,13.01783367175513,13.241080082460844,12.147008827003052,12.282327787393653,12.241566739760515,0,0
40.64,13.968607055911956,13.197803722516703,13.561106187172859,12.296848574046638,12.092291771139157,12.261569299792798,0,0
41.64,14.680574824016588,13.747712210954914,13.791124949934671,12.097062244655156,12.062286084362166,12.11155009955069,0,0
42.64,14.740741114278952,13.897687253256274,13.981140449607466,12.296848574046638,12.042282293177502,11.861518099147082,0,0
43.64,14.650491678885418,14.027665623250714,14.231160843913733,12.097062244655156,12.14230124910088,11.781507859017939,0,0
44.64,14.399798802792235,13.987672278637062,14.391173896269738,12.147008827003052,12.462361908055746,11.991534739356975,0,0
45.64,15.39254259212122,14.387605724773914,14.331169001636272,11.977190447020257,12.342339160947704,11.931527059260047,0,0
46.64,15.412598022208668,14.35761071631365,14.201158396597,11.837340016446218,12.13229935350855,11.791509139034044,0,0
