HCP1.48,HCP2.78,HCP4.49
12.26,11.58,11.97
12.76,11.92,12.15
12.9,12.14,12.67
12.42,12.22,12.93
12.92,12.69,13.19
13.05,12.93,13.32
12.62,12.92,13.35
12.85,12.85,13.32
13.29,13.06,13.26
13.14,13.25,13.22
13.72,13.58,13.3
13.97,13.82,13.08
14.1,14.14,13.6
14.3,14.27,13.93
14.62,14.36,14.21
14.21,14.2,14.25
14.23,14.1,14.23
14.16,13.85,14.08
13.73,13.58,13.91
13.35,13.04,13.63
13.56,13.05,13.59
13.14,12.61,13.09
13.32,12.8,12.95
12.46,12.27,12.57
12.97,12.17,12.38
12.85,12.15,12.01
12.99,11.87,11.87
13.28,12.06,11.86
12.51,11.63,11.65
11.73,11.53,11.65
11.58,11.45,11.67
11.85,11.61,11.56
11.4,11.56,11.56
11.47,11.29,11.39
11.42,11.13,11.14
11.1,11.11,11.15
11.07,11.11,11.21
11.39,11.15,11.26
11.49,11.03,10.91
11.26,10.88,10.71
