x,y,VCP1.48f10000h1,VCP2.82f10000h1,VCP4.49f10000h1,HCP1.48f10000h1,HCP2.82f10000h1,HCP4.49f10000h1
468109.795918367,468798.979591837,45.7001678564226,40.2192341672312,31.0795210634336,17.3044943684145,10.5498167102985,13.4021472416191
468113.265306122,468798.979591837,34.4299778514441,36.3152063289154,27.7674055597926,18.1056454350796,9.94871085260607,13.7788611692944
468116.734693878,468798.979591837,28.0253296668465,29.1887146886413,26.3636349794772,16.9407221716805,10.0618348245908,14.0812370876591
468120.204081633,468798.979591837,38.6954991562948,38.902157716477,40.2154156555644,13.815861292118,10.9289012248178,14.9328975918636
468123.673469388,468798.979591837,27.5958540624486,28.3687061052425,30.4977785717329,12.3639024928047,12.482594127449,16.8095375895084
468127.142857143,468798.979591837,21.9868732902487,22.1531778244754,26.193487922479,14.1000228125252,14.8949654982512,19.4179274089881
468130.612244898,468798.979591837,29.8038250945123,28.3567111699768,31.1829345902906,18.8381166871762,18.0183464409447,22.1516664337616
468134.081632653,468798.979591837,31.3837613244621,31.4868090607956,25.6722800785125,26.6309998861187,21.6635939264882,25.0665801024989
468137.551020408,468798.979591837,25.8160609742293,27.8340124779006,26.4060561088323,34.0740229528782,26.4683308509611,24.6711522573181
468141.020408163,468798.979591837,22.3368438649168,25.202872257875,27.3338304213941,30.6062839727492,28.1042917677793,22.4115378263429
468144.489795918,468798.979591837,31.2223787889068,32.0927934040172,32.6580210732292,29.7609626648039,29.3739047156925,22.2744498426756
468147.959183674,468798.979591837,37.8346458714483,38.5509528529576,37.7008666816841,29.2807793276183,29.2942493599339,24.0714733121134
468151.428571429,468798.979591837,53.0582235681441,47.4147249645767,42.2359230309595,27.7218657888739,28.7400972673493,25.847476904661
468154.897959184,468798.979591837,57.5436037175735,46.8609296332661,40.1313884142023,30.3012439421407,30.4651502592608,28.1916763446299
468158.367346939,468798.979591837,52.309125246184,44.695732830538,39.6597270382639,28.9027773208468,30.2991692739632,28.8118322411453
468161.836734694,468798.979591837,45.1026180256888,41.6225296456621,38.5648887385601,26.9526996285302,29.3112338757041,28.6188133842476
468165.306122449,468798.979591837,37.6155585531037,37.7924782620744,36.6890849012988,24.2829091402164,27.5177423710145,28.2460957216139
468168.775510204,468798.979591837,35.6073683421319,33.3859169597575,33.1583571594655,25.9040651697615,27.366053542726,27.1630942081259
468172.244897959,468798.979591837,35.9070963588686,29.2967674346303,29.5825634258399,21.3149427909033,24.1418984319904,28.5744496234452
468175.714285714,468798.979591837,30.2669479474105,26.793563840987,29.3066999860421,17.8071613495761,21.1055573304691,25.865509587869
468179.183673469,468798.979591837,21.076659226878,24.7761501406597,28.7123878534658,16.8758863273502,19.8485847937416,24.2650516797707
