BoreholeID,x,y,VCP0.32,VCP0.32_inph,VCP0.71,VCP0.71_inph,VCP1.18,VCP1.18_inph,HCP0.32,HCP0.32_inph,HCP0.71,HCP0.71_inph,HCP1.18,HCP1.18_inph,saproliteDepth
1,266199.646335594,98354.9707772782,10.52,1.85,5.93,1.5,6.13,2.01,4.18,2.67,5.1,3.13,6.66,3.39,0.4
2,266234.909770815,98376.9295345676,9.81,1.75,5.39,1.23,5.33,1.79,4.84,2.56,4.08,3.4,5.35,3.94,0.4
3,266228.640662334,98352.6018466771,11.44,1.3,6.33,0.94,6.35,1.7,5.18,2.81,5.11,4.11,6.19,4.28,0.3
4,266230.184560499,98326.9943271388,10.39,1.82,7.74,1.63,8.57,2.19,5.26,2.92,8.01,3.15,9.3,6.12,0.3
5,266256.616238396,98301.7492508704,12.72,1.67,6.96,1.12,6.35,1.61,5.72,2.54,4.98,3.36,6.26,4.02,0.2
6,266248.449531271,98328.283343893,12.22,1.32,7.04,0.92,7.23,1.61,4.19,2.75,5.83,4.14,7.87,4.27,0.4
7,266238.116898176,98344.9262878,13.23,1.11,7.09,0.55,6.69,1.38,3.84,2.84,4.29,4.53,6.68,4.9,0.3
8,266256.589534778,98353.2083423554,12.7,1.1,6.81,0.67,6.7,1.42,3.78,2.95,4.91,4.53,7.06,4.82,0.38
9,266255.851247278,98378.5948993345,11.06,1.61,6.21,0.94,5.99,1.54,5.61,2.49,4.3,3.79,6.02,4.52,0.3
10,266255.376205989,98402.4170401356,12.18,1.46,5.77,0.96,5.1,1.55,3.49,2.72,3.02,3.96,4.88,4.31,0.23
11,266281.000243615,98403.9956785328,19.52,0.92,7.61,0.26,5.92,1.06,0.79,3.03,1.48,4.81,4.24,5.18,0.5
12,266287.198608595,98377.4676456514,10.95,1.38,6.6,0.88,6.66,1.64,5.09,2.79,5.82,4.23,7.65,4.28,0.29
13,266271.569635149,98387.8822997493,17.06,1.06,7.89,0.06,6.04,0.79,3.58,2.65,1.82,4.65,4.28,5.77,0.25
14,266277.533211541,98354.4064433972,11.96,1.19,6.43,1.07,6.65,1.79,2.85,3.23,5.03,4.43,7.1,3.82,0.2
15,266283.479032128,98330.1323720305,19.14,0.55,7.44,0.37,6.59,1.34,-2.61,3.68,2.79,5.25,6.07,5.18,0.36
16,266281.264866672,98303.2416881411,16.48,0.92,7.36,0.62,6.89,1.37,-0.4,3.35,4.62,4.7,7.62,4.45,0.44
17,266268.481959677,98317.0657804756,16.48,0.8,7.87,0.31,7.28,1.23,3.22,3.08,4.54,4.86,5.97,5.1,0.38
18,266301.927913718,98304.7697554754,14.8,1.02,7.61,0.4,7.62,1.19,4.91,2.83,5.18,4.69,8.04,5.03,0.36
19,266301.295433812,98330.1647051971,18.08,0.74,6.97,0.77,6.57,1.63,-2.03,3.67,4.04,4.8,6.81,4.16,0.4
20,266300.901983543,98362.6742511821,14.7,0.83,7.46,0.54,7.36,1.42,3.92,3.15,4.61,5.16,7.18,4.78,0.29
21,266302.611247259,98379.2417142765,12.98,1.12,6.87,0.94,7.19,1.67,3.57,3.23,5.53,4.39,7.41,4.04,0.2
22,266313.337472752,98392.5069878747,18.14,1.02,7.26,0.28,5.9,1.04,1.07,2.95,1.18,4.85,4.16,5.23,0.58
23,266302.473828278,98403.8562599179,17.16,1.05,7,0.47,5.87,1.24,2.23,2.96,1.95,4.7,4.6,4.95,0.29
24,266302.684249108,98433.5020218472,12.37,1.63,6.48,1.19,6.32,1.77,4.7,2.75,4.23,3.6,6.24,3.92,0.36
25,266330.759903535,98406.0677773588,9.56,1.69,4.91,1.43,5.08,1.98,2.74,3.01,3.38,3.7,4.85,3.49,0.2
26,266329.108061913,98381.0095931529,25.72,0.08,9.25,-0.2,6.83,0.9,-6.62,3.97,0.76,6.09,5.29,5.75,0.44
27,266332.357596489,98354.2123719412,33.44,-0.2,11.07,-0.5,8.08,0.75,-0.24,4.01,3.34,6.44,7.11,6.08,0.36
28,266330.145389293,98329.3132053058,21.53,0.35,8.86,0.14,7.77,1.2,-1.18,3.67,4.2,5.48,8.22,4.8,0.35
29,266356.248634778,98350.662197415,18.41,0.42,7.55,0.27,6.98,1.3,-1.07,3.55,3.08,5.52,6.99,4.97,0.4
30,266351.777638392,98379.0817678881,25.51,0.11,9.47,-0.37,7.01,0.66,-1.78,3.61,1.11,6.08,5.41,6.04,0.35
