Latitude,Longitude,Altitude,Time,VCP0.32,VCP0.32_inph,err1,VCP0.71,VCP0.71_inph,err2,VCP1.18,VCP1.18_inph,err3,HCP0.32,HCP0.32_inph,err4,HCP0.71,HCP0.71_inph,err5,HCP1.18,HCP1.18_inph,err6
5046.156099N,00353.797872W,164.32,19:31:48.83,16.17,0.83,0.6,7.17,0.69,0.1,6.72,1.36,0.8,1.87,2.91,0.8,1.56,5.72,7.1,5.51,5.8,1.7
5046.171673N,00353.843426W,163.64,19:26:52.87,12.36,1.31,0.6,7.01,1.11,0.6,7.1,1.67,0,5.9,2.24,0.9,2.32,4.06,1,4.26,4.98,1.1
5046.156115N,00353.820488W,165.57,19:29:48.02,24.61,0.16,0.6,9.86,-0.19,0,7.04,0.59,2,2.46,2.7,4.9,2.34,5.32,1.2,5.31,5.55,1
5046.170272N,00353.821608W,162.88,19:30:15.97,19.45,0.7,0.8,8.03,0.16,1.2,6.73,0.86,0.2,3.92,2.61,1,2.51,5.72,5.7,5.76,6.06,1.4
5046.144093N,00353.843324W,168.85,19:20:28.29,15.22,1.11,0.2,6.6,0.96,1.3,5.77,1.52,1.5,8.54,1.96,0.8,3.06,3.88,0.9,4.48,4.74,0.3
5046.159875N,00353.844542W,165.99,19:27:45.17,14.35,0.93,0,7.76,0.61,0,7.3,1.17,0.4,6.06,2.31,1.3,3.11,4.04,0.8,4.64,4.64,1
5046.175547N,00353.873632W,164.37,19:15:45.39,12.2,1.16,0.4,7.92,0.22,0.8,6.46,0.72,0.6,8.32,1.96,0.3,3.38,3.9,3,4.83,5.11,1.2
5046.168826N,00353.860692W,165.41,19:17:33.98,11.83,1.34,0.2,7.15,0.85,1.1,7.04,1.39,0.7,6.1,2.26,0.7,3.9,3.56,2.3,5.14,4.05,1.9
5046.136070N,00353.874614W,171.46,19:22:29.57,16.02,1.09,0.3,7.7,0.58,0.5,6.79,1.2,1.9,4.44,2.59,0.5,3.94,4.66,2.9,6.44,4.81,0.7
5046.184380N,00353.821261W,160.93,19:30:43.39,10.68,1.76,0.6,5.44,1.51,1.4,5.3,1.82,0.5,3.15,2.77,1.1,3.96,5.28,1.9,7.86,4.83,1.2
5046.170196N,00353.799847W,161.43,19:31:17.73,21.45,0.35,0.1,8.8,0.02,0.6,7.16,0.82,0.4,5.44,2.38,0.4,3.96,4.69,0,6.73,4.89,0.2
5046.199328N,00353.844952W,159.05,19:25:37.67,12.33,1.68,0.8,6.72,1.43,0.4,6.08,1.7,0.9,3.53,2.54,2.8,4.14,4.28,1.5,6.32,4.08,0.9
5046.142460N,00353.820162W,167.11,19:29:12.98,22.28,0.47,0.2,8.42,0.36,1.9,7.32,1.2,1.7,6.3,2.32,0.8,4.22,3.23,3.3,4.88,3.39,1.6
5046.142747N,00353.861968W,169.83,19:22:56.18,16.31,0.97,0.1,7.33,0.57,0.9,6.61,1.14,0,3.43,2.77,2,4.44,4.48,3.6,6.13,4.5,0.8
5046.169669N,00353.907359W,164.21,19:09:22.88,10.48,1.56,0.5,5.8,1.3,1.8,5.6,1.7,1.2,6.55,2.33,0.3,4.69,3.24,0.6,5.94,3.67,1.2
5046.155489N,00353.909484W,167.58,19:10:45.87,10.49,1.57,0.2,6.4,1.1,0.2,6.74,1.53,1.9,6.78,2.33,0.9,4.92,4.18,1.5,6.98,4.8,1.1
5046.182317N,00353.886814W,162.61,19:15:09.33,10.26,1.61,1.6,5.73,1.06,0.7,5.14,1.35,0,7.64,2.05,1.2,5.1,3.24,2.8,6.32,4.07,0.8
5046.143942N,00353.842937W,168.24,19:28:33.01,16.58,0.86,0,6.99,0.93,1.1,6.5,1.53,0.9,6.75,2.38,0.9,5.13,3.24,0.9,5.83,3.89,0.9
5046.142148N,00353.889666W,170.5,19:12:41.67,10.78,1.47,0.4,6.98,0.98,0.4,6.84,1.41,1.1,8.17,2.23,0.7,5.15,4.17,0.3,6.21,4.85,1.3
5046.182947N,00353.844301W,162.43,19:26:13.71,11.4,1.14,0.5,7.03,0.67,1.2,5.96,1.13,1.7,7.22,2.17,0.3,5.17,4.5,3.3,7.11,4.73,1.1
5046.150713N,00353.899345W,168.43,19:10:25.41,14.49,1.05,0.9,7.19,0.57,0.2,7.05,1.04,0.8,7.17,2.22,0.3,5.61,3.63,2.7,6.89,4.12,1.1
5046.155854N,00353.931553W,165.92,19:08:40.42,9.75,1.83,0,6.18,1.57,0.7,6.61,1.82,0.5,6.4,2.42,0.4,5.67,3.02,2.1,7.08,3.27,0.7
5046.177987N,00353.834080W,162.31,19:26:32.90,16.2,1.23,0.7,7.12,0.59,0.4,5.75,1.03,0.3,6.98,2.32,1.3,5.69,3.89,0.7,7.51,3.93,0.2
5046.155647N,00353.866638W,168.18,19:23:30.66,11.94,1.4,0.8,7.05,1.35,1,7.19,1.79,0.9,8.39,2.18,0.4,5.77,4.1,1.4,8.14,4.72,0.2
5046.170418N,00353.885512W,164.93,19:14:06.02,10.1,1.67,0.3,6.4,1.08,1.7,6.04,1.44,0,7.91,2.06,0.4,5.82,3.92,0.7,7.43,4.42,0.4
5046.155615N,00353.930967W,166.73,19:33:49.39,6.1,1.87,0.6,6.17,1.63,1.7,6.83,1.82,1.7,6.37,2.37,0.3,5.88,2.99,0.5,7.08,3.21,0
5046.127093N,00353.884124W,173.25,19:11:50.54,11.74,1.74,1.8,6.68,1.29,1.2,6.18,1.64,0,8.33,2.23,0.4,5.91,2.95,1.2,6.62,3.5,0.6
5046.132129N,00353.843186W,170.66,19:20:53.65,14.11,1.21,0.5,7.84,0.64,1.1,7.25,1.15,0.5,7.26,2.03,2,6.13,3.74,1.4,7.88,3.97,0.8
5046.142198N,00353.889707W,170.55,19:13:21.67,12.09,1.35,0.1,7.02,0.71,1,7.07,1.25,0.1,7.38,2.2,0.3,6.19,3.72,2.1,7.54,4,0.6
5046.129614N,00353.863266W,172.03,19:21:43.80,18.23,0.77,0.3,7.57,0.71,0.3,6.82,1.36,0.7,6.93,2.43,0.6,6.54,3.78,1.2,7.94,3.65,0.9
5046.140921N,00353.906205W,170.64,19:11:18.30,10.35,1.71,0.3,7.55,1.59,1.2,7.98,1.92,0.7,7.4,2.47,0.4,6.93,3.23,0.8,9.13,3.14,0.5
